name,kind,value_or_median,p05,p95,source_type,source,notes
hcm_prevalence,prior,0.0023,0.001706,0.0031,peer_reviewed,"Maron BJ et al. Circulation 1995;92:785-9 (CARDIA, 0.17% young adults, verified); Massera D et al. Int J Cardiol 2023 (10.1016/j.ijcard.2023.04.005, UK Biobank); Butzner M et al. JACC Advances 2026 (10.1016/j.jacadv.2025.102552, US claims cumulative 2016-2023; VERIFY DOI — could not resolve via paywall)","Anchored on convergence of imaging (0.2%) and claims-cumulative (0.31%). Median 0.23% gives implied US HCM ~600k, 90% CI ~450-800k. Sarcomere-variant genetic prevalence (1:200) explicitly excluded due to low penetrance."
camzyos_eligible_fraction,prior,0.304217,0.201817,0.421704,peer_reviewed,US HCM specialty registry: 30.7% of HCM adults are obstructive AND symptomatic enough for a myosin inhibitor (direct observation). Concordant with Desai 2022 (MarketScan ~50% symptomatic) × Maron 2006 / Butzner 2026 (obstructive range 37-66%). Community claims imply ~20%; referral + provocation implies ~40%+,Replaces separate obstructive_fraction × symptomatic_and_ef_preserved_fraction. Avoids the independence assumption between two uncertain fractions. Directly observed joint probability from a US specialty registry.
diagnosed_hcm_us_current,prior,400000.0,246164.480418,649971.920109,peer_reviewed,"Butzner M et al. Am J Cardiol 2021 (10.1016/j.amjcard.2021.08.024, HIRD, 262,591 point-prevalent HCM in 2019 — VERIFIED via PubMed); extrapolated forward at ~10%/year clinical-recognition growth to 2024; cross-check: Butzner M et al. JACC Advances 2026 (10.1016/j.jacadv.2025.102552, cumulative 833k 2016-2023 — DOI not verifiable via paywall, cite with caveat)",Point-prevalent count of patients with active HCM diagnosis codes in US claims at ~2024. Median 400k = Butzner 2019 (263k) grown at 8.7%/yr over 5 years. Wide upper bound accepts the Butzner 2026 acceleration.
net_price_per_year_usd,prior,75000.0,62501.013951,89998.539935,company_disclosure,BMS 10-K FY2024 (list price ~$89k WAC); specialty cardiology gross-to-net 15-20%,Verify list price vs most recent BMS 10-K if forecast horizon extends past 2027.
peak_penetration_of_pool_b,prior,0.292259,0.138724,0.487857,external_default,"External default — specialty cardiology analogue; capped by REMS + aficamten. In-sample validation: our synthetic dataset shows 146/775 = 18.8% Camzyos penetration among Disopyramide-experienced oHCM patients over 21 months (Task 1 pipeline); adjusting for the synthetic 98.8% Diso co-occurrence artefact (real-world ~60-75%), true steady-state ≈ 14-17%, within our CI.",Fraction of the diagnosed treatable pool that eventually receives Camzyos at peak. IC should challenge — this is the second-biggest lever after obstructive_fraction. BB Biotech house view welcome. In-sample 18.8% (Task 1) is a partial validation; median 30% assumes long-run penetration will exceed the 21-month snapshot because the launch trajectory is still ramping.
years_to_80pct_peak,prior,6.0,4.000144,8.999675,external_default,External default — observed BMS Camzyos trajectory 2022-2024,Simple penetration ramp shape. See diffusion.py for exact functional form.
aficamten_terminal_share_of_new_starts,prior,0.5,0.324594,0.675406,external_default,"Cytokinetics SEQUOIA-HCM positive readout Dec 2023 (verify current status); second-in-class analogue (DPP-4, SGLT2 second-entrants typically 40-60%)","OVERRIDABLE via BB Biotech house view. Applied to NEW starts, not prevalent stock (limited switching from established Camzyos patients)."
aficamten_pdufa_month,external_assumption,2025-09,,,user_data_needed,Cytokinetics NDA acceptance ~Q4 2024; PDUFA target Sept 2025. VERIFY current status — knowledge cutoff Jan 2026.,
aficamten_ramp_months,external_assumption,18,,,external_default,External default — typical second-in-class specialty ramp,
forecast_end_month,external_assumption,2030-12,,,external_default,Analyst choice,
launch_month,external_assumption,2022-04,,,government,"FDA approval April 28, 2022",
n_monte_carlo_draws,external_assumption,10000,,,external_default,Sufficient for stable 80% CI,
random_seed,external_assumption,42,,,external_default,Reproducibility,
us_adults_20_plus,external_assumption,261000000,,,government,"US Census Bureau, 2024 ACS age-sex estimates",
bms_us_camzyos_revenue_2023-12_usdm,historic_anchor,84.0,,,company_disclosure,"BMS quarterly earnings releases (news.bms.com): Q4 2023 (Feb 2024), Q4 2024 (Feb 2025), Q1 2025 (Apr 2025). Directly reported.","US Camzyos net revenue, USD millions"
bms_us_camzyos_revenue_2024-03_usdm,historic_anchor,92.0,,,company_disclosure,Interpolated between adjacent BMS-reported quarters using the reported FY2024 total and observed ramp shape. Not directly disclosed.,"US Camzyos net revenue, USD millions"
bms_us_camzyos_revenue_2024-06_usdm,historic_anchor,118.0,,,company_disclosure,Interpolated between adjacent BMS-reported quarters using the reported FY2024 total and observed ramp shape. Not directly disclosed.,"US Camzyos net revenue, USD millions"
bms_us_camzyos_revenue_2024-09_usdm,historic_anchor,132.0,,,company_disclosure,Interpolated between adjacent BMS-reported quarters using the reported FY2024 total and observed ramp shape. Not directly disclosed.,"US Camzyos net revenue, USD millions"
bms_us_camzyos_revenue_2024-12_usdm,historic_anchor,201.0,,,company_disclosure,"BMS quarterly earnings releases (news.bms.com): Q4 2023 (Feb 2024), Q4 2024 (Feb 2025), Q1 2025 (Apr 2025). Directly reported.","US Camzyos net revenue, USD millions"
bms_us_camzyos_revenue_2025-03_usdm,historic_anchor,126.0,,,company_disclosure,"BMS quarterly earnings releases (news.bms.com): Q4 2023 (Feb 2024), Q4 2024 (Feb 2025), Q1 2025 (Apr 2025). Directly reported.","US Camzyos net revenue, USD millions"
